"CODE","pt-br"
"FIF_ADD_ADD","Adicionar um marcador existente aos itens selecionados:"
"FIF_ADD_CHTP","Adicionar este marcador existente"
"FIF_ADD_TAG","Marcador:"
"FIF_ADD_ELBL","Coloque um novo marcador ou selecione um já existente"
"FIF_REM_TIT","Remoção em lote"
"FIF_REM_REM","Remover o marcador dos itens selecionados:"
"FIF_REM_CHTP","Remover este marcador"
"FIF_REM_ELBL","Escolha o marcador"
"FIF_SE_EFI","Mostrar o painel de filtros adicionais"
"FIF_EF_AC","Criador do item"
"FIF_EF_BH","Altura da construção"
"FIF_EF_MET","m"
"FIF_EF_FEE","pés"
"FIF_SET_ACLS","Organizar lista de criadores em ordem alfabética"
"FIF_GR_RAN","Seleção aleatória"
"FIF_NET_SMR","Estradas pequenas"
"FIF_NET_MDR","Estradas médias"
"FIF_NET_LGR","Estradas largas"
"FIF_NET_HGHW","Auto estrada"
"FIF_NET_PATH","Caminhos"
"FIF_NET_WALL","Parede e Cercas"
"FIF_NET_WAT","Estruturas de Água"
"FIF_PROP_MAR","Marcadores do Editor"
"FIF_NET_TNR","Estradas pequenas"
"FIF_NET_UTI","Utilidade"
"FIF_NET_TRA","Trem"
"FIF_SET_PM","Mostrar indicador do tipo de objetos em jogo"
"FIF_SET_PMTP","O tipo de indicador de objetos é invisível e a maioria não funciona em jogo. Use o 'Move It' para excluí-los."
"FIF_SET_IC","Mostrar o número de vezes que cada item está sendo usado"
"FIF_EF_UN","Itens não usados"
"FIF_QM_TIT","Menu rápido"
"FIF_UIS_UN","Não usado"
"FIF_UIS_IN","Em uso"
"FIF_SET_ICTP","Esta opção diminui ligeiramente a velocidade da busca. Desative quando não for necessário"
"FIF_SET_PO","Incluir Objetos Procedimentais (PO)"
"FIF_SET_ICO","Usar a opção de organizar original"
"FIF_SET_ICUS","Mostrar itens em uso primeiro"
"FIF_SET_ICUN","Mostrar itens não usados primeiro"
"FIF_TAG_BATTP","Edição em massa"
"FIF_SE_SEBTP","Limpar a caixa de pesquisa"
"FIF_SET_DB","Usar o navegador padrão do sistema ao invés da sobreposição da Steam"
"FIF_SET_DBTP","Clique com o botão direito no ícone da Steam na thumb de um item para ver o item na Oficina da Steam"
"FIF_NET_ONE","Estradas de sentido único"
"FIF_NET_PAR","Permitir estacionamento na rua"
"FIF_NET_NOP","Sem estacionamento na rua"
"FIF_PROP_VEH","Veículo não categorizado"
"FIF_PROP_TRE","Árvore"
"FIF_SET_BACK","Usar cor de fundo clara no painel principal"
"FIF_SET_BACKTP","Mais fácil de enxergar itens mais escuros, mas difícil de enxergar itens mais claros"
"FIF_SET_DUN","Desativar aviso futuro de atualização"
"FIF_PROP_MOT","Veículo a Motor"
"FIF_PROP_RAI","Veículo Ferroviário"
"FIF_PROP_AIR","Aeronave"
"FIF_PROP_WAT","Embarcação"
"FIF_EF_SB","Sub-construções"
"FIF_ATP_TP","Clique com o botão direito para arrastar e mover este painel"
"FIF_SET_ATP","Mostrar painel com tipos de item"
"FIF_EF_CT","Com marcador personalizado"
"FIF_EF_NCT","Sem marcador personalizado"
"FIF_UPN_UP","Atualização"
"FIF_PROP_TC","Segue o nível do terreno"
"FIF_PROP_NTC","Não segue o nível do terreno"
"FIF_SET_SSK","Use palavras chave separadas na pesquisa para cada tipo de item"
"FIF_SET_SSKTP","Segure SHIFT ao trocar o tipo de item para compartilhar a pesquisa de palavra chave temporariamente"
"FIF_TAG_SA","Selecionar todos"
"FIF_TAG_SATP","Selecionar todos itens exibidos"
"FIF_EF_UNEXP","Exportar tudo"
"FIF_EF_UNEXPTP","Exportar a lista com a identificação de todos itens não usados da oficina em um arquivo HTML com os links para a oficina"
"FIF_EF_UNEXPSE","Exportar pesquisados"
"FIF_EF_UNEXPTPSE","Exportar a lista com a identificação de todos itens não usados da oficina mostrados na última pesquisa em um arquivo HTML com os links para a oficina"
"FIF_EF_LC","Personalização Local"
"FIF_EF_WC","Personalização da Oficina"
"FIF_EF_DLC","Requer uma expansão do jogo (DLC/CCP)"
"FIF_LOC_TOOL","Clique para localizar a instância mais próxima do item selecionado. Segure SHIFT e clique para localizar a instância procedural (PO) mais próxima. "
"FIF_REF_DIS","Atualizar exibição"
"FIF_EF_US","Itens usados"
"FIF_EF_USEXPTP","Exportar a lista com a identificação de todos itens usados da oficina em um arquivo HTML com os links para a oficina"
"FIF_EF_USEXPTPSE","Exportar a lista com a identificação de todos itens usados da oficina mostrados na última pesquisa em um arquivo HTML com os links para a oficina"
"FIF_SE_SIZEX","Clique neste 'x' para resetar os filtros de tamanho de construções"
